  MD simulation for CO diffusion
 
  Ensemble:  NVT
 
  Number of steps:          1000
 
  Output interval:             1
 
  Time step:  0.500000E-03
 
  Temperature:     900.000
 
  Lattice constant:  0.274030E+01
 
  Supercell:         1         1
 
  Number of atoms            14
 
  Coordinates
  Ru    0.791070E+00  0.243599E+01  0.426507E+01
  Ru    0.316424E+01  0.106584E+01  0.426507E+01
  Ru    0.791070E+00 -0.304310E+00  0.426507E+01
  Ru    0.316424E+01 -0.167446E+01  0.426507E+01
  Ru    0.158176E+01  0.106581E+01  0.641455E+01
  Ru    0.395493E+01 -0.304340E+00  0.641455E+01
  Ru    0.158176E+01  0.380611E+01  0.641455E+01
  Ru    0.395493E+01  0.243596E+01  0.641455E+01
  Ru    0.791170E+00  0.243599E+01  0.847202E+01
  Ru    0.316433E+01  0.106584E+01  0.847202E+01
  Ru    0.791170E+00 -0.304310E+00  0.847202E+01
  Ru    0.316433E+01 -0.167446E+01  0.847202E+01
  C     0.338877E+01  0.107450E+01  0.104720E+02
  O     0.338877E+01  0.107450E+01  0.119720E+02
 
  Upper bound of z direction:     13.47202000
 
  Lower bound of potential energy:   -195.00000000 eV
  Lower bound of potential energy:   -0.18814640E+07
 
  Number of freedom:      42
 
  Debug:          disable
 
            Step:      Temperature (K)      Potential (eV)      Total energy ( eV)
--------------------------------------------------------------------------------
               1           642.881   -1.89078337E+02   -1.87914948E+02
               2           578.483   -1.89107535E+02   -1.88060683E+02
               3           577.269   -1.89169751E+02   -1.88125096E+02
               4           612.704   -1.89265238E+02   -1.88156458E+02
               5           678.285   -1.89394378E+02   -1.88166919E+02
               6           771.073   -1.89557293E+02   -1.88161920E+02
               7           887.825   -1.89753293E+02   -1.88146640E+02
               8          1022.621   -1.89980097E+02   -1.88129510E+02
               9          1164.884   -1.90232816E+02   -1.88124781E+02
              10          1298.149   -1.90502776E+02   -1.88153580E+02
              11          1400.658   -1.90776465E+02   -1.88241762E+02
              12          1449.754   -1.91035135E+02   -1.88411587E+02
              13          1431.880   -1.91255960E+02   -1.88664757E+02
              14          1353.935   -1.91415330E+02   -1.88965180E+02
              15          1239.879   -1.91492974E+02   -1.89249225E+02
              16          1108.175   -1.91474498E+02   -1.89469088E+02
              17           959.954   -1.91353731E+02   -1.89616548E+02
              18           792.446   -1.91138859E+02   -1.89704809E+02
              19           614.752   -1.90860473E+02   -1.89747986E+02
              20           451.021   -1.90574053E+02   -1.89757862E+02
              21           334.017   -1.90350486E+02   -1.89746031E+02
              22           294.967   -1.90254608E+02   -1.89720820E+02
              23           353.637   -1.90320157E+02   -1.89680197E+02
              24           510.162   -1.90533919E+02   -1.89610703E+02
              25           738.411   -1.90838163E+02   -1.89501897E+02
              26           986.650   -1.91152099E+02   -1.89366606E+02
              27          1195.352   -1.91403200E+02   -1.89240030E+02
              28          1322.361   -1.91550477E+02   -1.89157466E+02
              29          1354.429   -1.91587852E+02   -1.89136808E+02
              30          1302.786   -1.91532900E+02   -1.89175311E+02
              31          1192.491   -1.91412912E+02   -1.89254918E+02
              32          1052.090   -1.91255101E+02   -1.89351185E+02
              33           906.076   -1.91081867E+02   -1.89442185E+02
              34           771.217   -1.90909626E+02   -1.89513991E+02
              35           656.637   -1.90749510E+02   -1.89561226E+02
              36           566.136   -1.90608738E+02   -1.89584229E+02
              37           500.873   -1.90491929E+02   -1.89585522E+02
              38           461.363   -1.90402150E+02   -1.89567245E+02
              39           448.643   -1.90341668E+02   -1.89529780E+02
              40           464.686   -1.90312489E+02   -1.89471570E+02
              41           511.710   -1.90316715E+02   -1.89390698E+02
              42           589.837   -1.90356533E+02   -1.89289133E+02
              43           694.169   -1.90433580E+02   -1.89177375E+02
              44           815.327   -1.90547723E+02   -1.89072266E+02
              45           944.287   -1.90695977E+02   -1.88987147E+02
              46          1074.403   -1.90871959E+02   -1.88927664E+02
              47          1197.545   -1.91065315E+02   -1.88898176E+02
              48          1300.223   -1.91260768E+02   -1.88907819E+02
              49          1363.963   -1.91437521E+02   -1.88969223E+02
              50          1370.335   -1.91570347E+02   -1.89090518E+02
              51          1308.974   -1.91633506E+02   -1.89264719E+02
              52          1184.292   -1.91607482E+02   -1.89464328E+02
              53          1014.906   -1.91486523E+02   -1.89649898E+02
              54           825.608   -1.91284031E+02   -1.89789969E+02
              55           640.643   -1.91033987E+02   -1.89874646E+02
              56           483.349   -1.90787237E+02   -1.89912545E+02
              57           376.669   -1.90600924E+02   -1.89919283E+02
              58           339.581   -1.90521661E+02   -1.89907137E+02
              59           381.015   -1.90568396E+02   -1.89878892E+02
              60           494.889   -1.90723563E+02   -1.89827986E+02
              61           657.894   -1.90937653E+02   -1.89747094E+02
              62           831.716   -1.91145652E+02   -1.89640536E+02
              63           973.174   -1.91288468E+02   -1.89527363E+02
              64          1050.006   -1.91330000E+02   -1.89429854E+02
              65          1051.402   -1.91262766E+02   -1.89360095E+02
              66           986.896   -1.91102422E+02   -1.89316485E+02
              67           877.795   -1.90877239E+02   -1.89288737E+02
              68           748.025   -1.90618506E+02   -1.89264842E+02
              69           618.210   -1.90354575E+02   -1.89235830E+02
              70           503.539   -1.90108481E+02   -1.89197252E+02
              71           414.267   -1.89897912E+02   -1.89148233E+02
              72           357.417   -1.89736279E+02   -1.89089479E+02
              73           338.687   -1.89634041E+02   -1.89021137E+02
              74           363.704   -1.89599485E+02   -1.88941307E+02
              75           437.535   -1.89638268E+02   -1.88846481E+02
              76           562.145   -1.89751625E+02   -1.88734339E+02
              77           733.250   -1.89934023E+02   -1.88607097E+02
              78           938.046   -1.90171246E+02   -1.88473711E+02
